filename,e0,n0,u0,h0,p0,r0,vang,hang,z,e1,n1,u1,h1,p1,r1,intr_x,intr_y,loc,ac,clouds,local_time_sec
0, -2996.0210387104703, 2071.4095269281897, 180.54417490928813, 274.74667344954076, -16.01856978222598, -4.296484216910677, -3.971188631697217, 19.75437459380361, 492.60792033223703, -3419.1924246374483, 2275.311594329641, 32.17811337193291, 87.98252302211938, 3.6770623479140236, 0.7520922026701768, 2393.7164496551754, 1151.114122014264, Palo Alto, Cessna Skyhawk, 0, 37112.53496378179
1, 2134.69333476062, 4605.717830644322, 212.37879796890275, 91.23841141436824, -16.788122420824557, 10.597799370505612, 13.175337759462437, -8.22079295364, 118.98272790074475, 2253.262718505611, 4614.452260980932, 207.6990005661686, 12.220486105117319, 6.7485306911596465, 4.296687933918864, 1113.7698350708488, 356.7432227337656, Palo Alto, Cessna Skyhawk, 0, 30916.08363518486
2, -4744.085634958585, -631.5658496701508, 63.12337576366656, 278.9282735871226, -1.6290330458554905, -13.491314812451641, 16.992146525486397, 4.11414651990874, 223.24368904882945, -4956.300804968607, -598.5566426043241, 124.05660616082675, 186.42727961283282, -6.337530112567648, 11.293400587530837, 1659.6260968059669, 186.49385414077165, Palo Alto, Cessna Skyhawk, 0, 34814.08748013261
3, -4005.8584079639395, 2492.8335350185907, 349.5809670485729, 123.34895262017383, -6.276785502660152, 14.304012468646235, 15.97852430817428, -6.060078763260556, 90.2809657898673, -3930.282677978562, 2446.3755120566, 366.3325020108284, 257.2135098184749, 2.396303798006425, 2.747975923098748, 1219.0986886853404, 228.07029170290048, Palo Alto, Cessna Skyhawk, 0, 32671.104303640845
4, 1423.9206807805185, -597.4613158386392, -315.6584150571964, 83.94802504046874, 5.757090405116999, -13.488124709978383, 8.504606264399861, -20.33661465719398, 216.56959946522255, 1612.8371772673834, -497.12940950918517, -281.79903910380744, 306.0988654943057, 3.559760912920213, -3.1485613213720294, 529.4280863198042, 549.5872586059959, Palo Alto, Cessna Skyhawk, 0, 32908.088943531155
5, -1847.512064152781, 4250.112131692162, -271.7844576103083, 180.72303944469405, 3.209766738518165, 18.924804219841302, 10.697942106016257, 0.7211465498021923, 82.79730031976172, -1854.4799859933996, 4169.764956143917, -253.0448635142948, 351.73638256807146, -2.888832635516973, 3.9439194661960535, 1508.0008432401664, 491.4038806270214, Palo Alto, Cessna Skyhawk, 0, 46372.775058900894
6, -3053.093067437, -4909.917875307754, 53.80083977586435, 63.46918838129405, -4.629211552883447, 11.340048414488075, 1.8223193731978817, 23.75870485472032, 727.6404081682299, -2331.6592766990116, -4875.92633482354, -34.73403672009498, 55.47166955644958, 7.876584104372629, 3.7669413821606494, 2595.0162209719383, 864.0643535143336, Palo Alto, Cessna Skyhawk, 0, 56717.31814888942
7, -1670.3665443055784, -1757.2124993986959, 407.7880808029637, 155.9189499848107, -19.23746818687365, -7.393684048079124, -15.683186842664284, 5.735154360559271, 100.00176716551685, -1648.7855518702802, -1837.409424396103, 352.0828977165213, 29.930451558476364, -1.7849890325837454, -8.732518066096036, 1732.7774461955896, 1682.9080355872607, Palo Alto, Cessna Skyhawk, 0, 35135.944595183166
8, -918.0841067753431, -981.2053216400263, -403.29697422038794, 121.24754287830726, 12.97916815741824, 2.6680854903510283, -3.635480293669655, -1.2483372783704887, 291.4072856092733, -668.6442888445347, -1124.1455821899608, -355.6937679131811, 351.5463089372098, 12.451089509463271, 13.248001205252756, 1425.0065759238769, 1118.2040529890883, Palo Alto, Cessna Skyhawk, 0, 43604.851392969984
9, -3979.697147287278, -936.8025814040138, 109.27448307267298, 105.83338707633999, -2.117019857543806, 2.665646963910934, 14.150296126961955, 24.0057899390709, 728.1384361308844, -3434.316403019482, -1398.3225784428696, 249.79038354763577, 24.300195588390405, -17.022186222658537, 12.616180800663042, 2617.352028253931, 251.10791108985654, Palo Alto, Cessna Skyhawk, 0, 50484.68015076438
10, -303.175795718209, -1398.9733069187637, 232.5131427971853, 354.4341680463165, 2.3445765948091974, 19.41344927459847, -18.972682079089292, 24.79154140964806, 644.5152224441401, -187.33160228753667, -820.5848668744651, -27.192088635951507, 311.4994164219026, 10.545026320524267, 19.413207658721635, 2649.6794059603476, 1914.9476110435733, Palo Alto, Cessna Skyhawk, 1, 43981.8584695694
11, 3067.005227868478, 486.44929754620443, 182.9806933050803, 36.046907578866154, -14.164427489153354, -21.723939173588192, -1.6286744927992771, -7.717249251152936, 404.73278896487966, 3253.946718745219, 821.8404039257925, 55.01853009443873, 64.29844556571061, -0.4044235671921251, 7.352524296982429, 1126.9456822309164, 1026.097675603572, Palo Alto, Cessna Skyhawk, 1, 44772.26456977408
12, -3849.8044176927806, 577.9102794567871, 361.0768792629674, 225.67913434461494, 1.6550826135380883, -5.616982447344671, -6.933530088938337, 2.4438882718915877, 180.25245183808772, -3984.8763700262866, 459.593402069295, 345.3405959746447, 62.390979329982564, -8.81375968517824, -0.5700388454516682, 1581.7122660997975, 1275.0726282323058, Palo Alto, Cessna Skyhawk, 1, 46783.072011159034
13, 1724.0852459441257, 2269.3401205686378, -262.6045835184681, 175.58210194743214, 8.645889668132332, 3.6716887416646564, -3.7836383087249956, 11.293748596957656, 275.3621682506939, 1692.475524494123, 1996.4708212609416, -243.43443200880023, 96.16980310328748, 0.7693406917002252, 14.314395945308913, 1983.400929210402, 1133.6073525573102, Palo Alto, Cessna Skyhawk, 1, 33692.510818732364
14, 207.72446957691773, -1978.0856646259335, 499.34878831534036, 103.08290658344305, 9.165654450427695, 8.138408194994659, 13.488395005649679, -24.868345922564984, 556.7102856465013, 701.9339469124473, -1880.437501789644, 736.3048410994996, 163.045702936606, -3.5270601268580837, 2.983629138860123, 291.0424268824443, 277.2937567872034, Palo Alto, Cessna Skyhawk, 1, 36161.531648845026
15, 1150.6273338498622, -4645.550735688976, -390.8370688159122, 88.50071165471397, 6.635623780287103, -18.94848085120968, 0.5454395352842987, -14.271471834951482, 421.8956755987807, 1557.4607070868262, -4535.200304096541, -373.36280897613557, 175.88812191307292, -9.581777257222448, -7.086066101090971, 825.4352738921953, 928.8638735589715, Palo Alto, Cessna Skyhawk, 1, 29321.156141115964
16, 4080.5794376726026, 4007.755657990674, -264.94059576507533, 11.076665940506278, 11.251611145816687, 0.059092791767872764, 12.51133015220465, 1.969542320879615, 538.3859296112485, 4193.033831197711, 4487.529312144815, -48.07506286542147, 145.37036300652443, -11.727281980321461, -10.32090666949508, 1558.7955238737234, 392.1884139389722, Palo Alto, Cessna Skyhawk, 1, 38272.897451404206
17, -750.8819413845276, 212.8884890820391, -353.4154237495096, 168.55234495158072, -20.638765815757623, -18.568683392946497, -4.932814969223545, -17.395846587912708, 75.85429357554601, -719.4669334093784, 155.2029115098074, -391.35412783813746, 222.93920144365745, -14.298971956032068, 3.1074093601968453, 704.5416939359753, 1197.366555407811, Palo Alto, Cessna Skyhawk, 1, 56139.67149174301
18, 2088.3962060217045, 3765.1758478225784, -258.1300257270245, 165.71040996786837, 6.2008310008780745, 2.1328347704403385, 15.567459381414025, -19.69684239657851, 61.38842602771821, 2120.3066017701194, 3718.1035536629465, -235.01153494822913, 240.76511891483383, 10.470351303054834, 1.8239110395037315, 586.0537856123325, 218.3757592892232, Palo Alto, Cessna Skyhawk, 1, 32255.516832533896
19, 2215.8243640359888, 2033.133946102631, 254.77473057309714, 322.4466793584484, -12.139796511463501, -13.206513991429711, -9.81126849414693, 3.523362864701383, 174.99389114215745, 2130.260840481889, 2172.5319570263805, 192.5658893639694, 160.24663283128038, 4.925674176928764, -14.408638639255933, 1635.9604374816374, 1402.7940567893083, Palo Alto, Cessna Skyhawk, 1, 56599.15699330464
20, 4162.487417023109, -2112.8969731406146, -423.1689403483636, 213.61577742959307, -11.267118692708804, 4.9161025631107345, -9.677423419819892, -10.880140711940435, 1011.4920694896259, 3815.714658262524, -2999.5467399611803, -764.8077136441009, 281.2057500031199, 5.369751785369383, -11.441025837900762, 978.3468555580632, 1400.717571629393, Palo Alto, Cessna Skyhawk, 2, 29214.95551053081
21, -1833.3530086959513, 3660.835699859448, 453.35567604693347, 31.649297863442136, 6.019358627268856, 2.939413743727377, -7.067430012327769, 17.05884039377068, 298.6891318142308, -1610.892363107528, 3859.834767076985, 442.1382844218219, 45.03690749137397, -19.128749473444703, -12.546538007528758, 2252.398726998705, 1284.730358798055, Palo Alto, Cessna Skyhawk, 2, 33912.835822431836
22, -3280.5828269916474, -3267.4255891696503, 162.65939327268575, 279.7487651944336, 5.069459362187532, 3.60460056639841, -10.768922776983786, -1.4277430012686843, 227.12908706547594, -3504.6110664310036, -3237.272546379179, 140.52877793159823, 218.49580732438594, 0.3608284569652747, 10.521054431638214, 1414.380853954518, 1448.0790236590751, Palo Alto, Cessna Skyhawk, 2, 46565.243957871004
23, 172.28001284236416, -3723.7052100544565, -323.39706503629185, 288.3055521132056, -13.65990185593062, 0.570692989795381, -12.700846791141295, -4.587650846205388, 191.99299504922362, 4.639356755251413, -3684.46654622258, -408.35733713650666, 280.0196383074185, -0.10431770429906854, 4.6347813129390865, 1278.5652871569894, 1541.3419713637204, Palo Alto, Cessna Skyhawk, 2, 49038.27816236512
24, -4859.653579867461, -2305.6943967946863, 395.1280087451672, 120.98649151092197, 5.805282185157303, -6.013437309307892, 12.084977744696154, 2.108133966124459, 309.8309764152257, -4609.335049607479, -2461.0222536605397, 491.09219079428055, 276.12943704022405, 12.194095876360972, -1.9571782916474467, 1573.5377612634343, 411.4609513051355, Palo Alto, Cessna Skyhawk, 2, 44687.614674821925
25, -4552.305393254589, 1743.5417782876148, -282.7159657182773, 265.07629518463943, 6.485787256956811, 1.2553747444115126, 19.823147065259583, -4.846710392286386, 807.1364895864111, -5265.337821484406, 1623.7587819841847, 76.04036232505916, 157.4813936398079, 12.306859955147353, 5.576743284631384, 1256.0584810555858, 39.92772257890715, Palo Alto, Cessna Skyhawk, 2, 37220.50882064
26, -2140.2506490706705, 2858.1543786762822, -45.03999677201574, 145.4020044005008, -11.885404451643131, 0.4373375094871067, 6.627292812815433, -4.06499916059418, 695.9572221930761, -1707.8282215991578, 2316.4985250617406, -108.09739592111575, 280.03435343798566, 5.282100002642702, -6.268651731384737, 1298.0169271894147, 658.9459993928124, Palo Alto, Cessna Skyhawk, 2, 32882.91807222804
27, 3776.8349732886836, -3106.9207394239274, -59.04562853399051, 44.1966738902947, 30.758727713975027, -1.681608961631368, 18.606800948819625, 15.3494136613077, 666.2850032796596, 4179.425085677372, -2923.5990200863575, 439.20135261226415, 358.7860826711489, -15.839403506687507, 3.495320490130659, 2168.356169785847, 63.58240790201262, Palo Alto, Cessna Skyhawk, 2, 57914.140367356886
28, 2309.879284361662, -4464.071108901349, -252.53889166263144, 332.8712189293725, -2.6472821027706424, -8.94152000348216, -6.0872882158449215, 22.360757936588335, 406.1058667205981, 2281.1837078093854, -4060.57358794447, -288.4316409704437, 156.52496176438893, -7.401145336546816, -3.722929864333015, 2520.8781936771616, 1250.0504173719178, Palo Alto, Cessna Skyhawk, 2, 40590.44498179414
