                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6046,                 4.1887,                 2.4585,                0.02874,                0.32782,                0.04891,                0.02207,                 2.8594,                 3.6695,                 1.9959,               0.070007,              0.0033325,              0.0033325
                      1,                 2.7897,                 3.6311,                 1.8538,                0.25852,                0.16711,                0.11922,                0.05991,                 2.3451,                 3.2267,                 1.7571,               0.039941,              0.0065999,              0.0065999
                      2,                 2.6902,                 3.5731,                 1.7816,                0.35727,                0.36769,                0.26786,                0.13239,                 2.1534,                 2.7265,                 1.5758,              0.0098094,              0.0098012,              0.0098012
                      3,                 2.6188,                 3.5172,                 1.7445,                0.36205,                0.36922,                 0.2722,                0.14319,                 2.0523,                 2.6782,                 1.5207,               0.009703,               0.009703,               0.009703
                      4,                 2.5251,                 3.4206,                 1.6802,                0.38656,                0.40478,                0.29794,                0.16282,                 1.9742,                 2.6319,                 1.4784,               0.009703,               0.009703,               0.009703
                      5,                 2.4789,                 3.3757,                 1.6625,                0.40831,                0.39936,                0.31942,                0.17368,                 1.9398,                 2.6429,                 1.4578,               0.009604,               0.009604,               0.009604
                      6,                 2.4366,                 3.3288,                 1.6318,                0.44817,                0.41381,                0.33993,                0.19443,                 1.8983,                 2.5949,                 1.4413,               0.009505,               0.009505,               0.009505
                      7,                 2.4165,                 3.3205,                 1.6166,                0.45926,                0.42228,                0.34645,                0.20141,                 1.8845,                 2.5871,                 1.4361,               0.009406,               0.009406,               0.009406
                      8,                 2.3823,                 3.2721,                 1.5999,                0.47581,                   0.42,                0.35742,                0.21294,                 1.8705,                 2.5602,                 1.4191,               0.009307,               0.009307,               0.009307
                      9,                 2.3801,                 3.2706,                 1.5993,                0.46623,                0.42798,                0.35672,                0.21741,                 1.8582,                 2.5414,                 1.4067,               0.009208,               0.009208,               0.009208
                     10,                 2.3645,                 3.2538,                 1.5853,                0.48505,                0.43256,                0.36418,                 0.2234,                 1.8379,                 2.5424,                 1.4031,               0.009109,               0.009109,               0.009109
                     11,                 2.3466,                 3.2291,                 1.5731,                0.48724,                0.43103,                0.35913,                0.22314,                 1.8125,                 2.5494,                 1.3948,                0.00901,                0.00901,                0.00901
                     12,                 2.3403,                 3.2298,                 1.5718,                0.48961,                0.43548,                0.36292,                0.22656,                 1.8092,                 2.5398,                 1.3936,               0.008911,               0.008911,               0.008911
                     13,                 2.3307,                 3.2303,                 1.5693,                0.48935,                0.43881,                0.36538,                0.23044,                 1.7995,                   2.54,                 1.3921,               0.008812,               0.008812,               0.008812
                     14,                 2.3241,                 3.2105,                 1.5684,                0.49593,                0.44006,                0.36555,                0.23226,                 1.7909,                  2.539,                 1.3914,               0.008713,               0.008713,               0.008713
                     15,                 2.3052,                 3.1836,                 1.5596,                0.49739,                0.44395,                0.36871,                0.23435,                 1.7844,                 2.5338,                 1.3896,               0.008614,               0.008614,               0.008614
                     16,                  2.274,                 3.1494,                 1.5451,                0.50151,                0.44798,                0.37149,                0.23669,                 1.7851,                 2.5269,                 1.3894,               0.008515,               0.008515,               0.008515
                     17,                 2.2819,                   3.16,                 1.5496,                0.50674,                0.44631,                0.37269,                0.23873,                 1.7845,                 2.5205,                 1.3888,               0.008416,               0.008416,               0.008416
                     18,                   2.28,                 3.1544,                 1.5421,                0.51173,                0.44965,                0.37559,                0.24198,                 1.7787,                 2.5161,                 1.3879,               0.008317,               0.008317,               0.008317
                     19,                 2.2653,                 3.1316,                  1.537,                0.51361,                0.44923,                0.37654,                0.24375,                 1.7757,                 2.5143,                 1.3883,               0.008218,               0.008218,               0.008218
                     20,                 2.2573,                 3.1168,                 1.5287,                0.51666,                0.44881,                0.37904,                0.24653,                 1.7741,                 2.5084,                 1.3875,               0.008119,               0.008119,               0.008119
                     21,                 2.2487,                  3.118,                 1.5302,                0.51789,                 0.4502,                0.38078,                0.24911,                 1.7704,                 2.5048,                  1.386,                0.00802,                0.00802,                0.00802
                     22,                 2.2411,                 3.1104,                 1.5279,                0.51623,                0.45194,                0.38149,                0.25054,                 1.7698,                 2.5051,                 1.3866,               0.007921,               0.007921,               0.007921
                     23,                 2.2445,                 3.1103,                 1.5248,                0.51719,                0.45236,                0.38323,                 0.2524,                 1.7673,                 2.5039,                  1.386,               0.007822,               0.007822,               0.007822
                     24,                  2.231,                 3.1016,                 1.5251,                 0.5219,                0.45354,                0.38579,                0.25497,                 1.7615,                  2.501,                 1.3853,               0.007723,               0.007723,               0.007723
